country,quarter,CR3_q,HHI_q,n_bancos
indonesia,2016Q1,0.8172556424937626,2602.4254385206523,5
indonesia,2016Q2,0.8166186682466741,2593.8523560759754,5
indonesia,2016Q3,0.8162296681351614,2601.5993425632605,5
indonesia,2016Q4,0.8112950176009852,2579.1243318727857,5
indonesia,2017Q1,0.8117148744647431,2592.0558372954833,5
indonesia,2017Q2,0.8077584737244541,2576.329610290283,5
indonesia,2017Q3,0.810778338509304,2571.6616252395334,5
indonesia,2017Q4,0.8035288380052309,2560.271700025652,5
indonesia,2018Q1,0.8020189016707303,2571.1271453666564,5
indonesia,2018Q2,0.8020859797046869,2559.9290857727856,5
indonesia,2018Q3,0.8009913634472556,2557.7707848119467,5
indonesia,2018Q4,0.7978346220288371,2556.6064011095846,5
indonesia,2019Q1,0.7970349738323264,2566.028311329378,5
indonesia,2019Q2,0.7980692610677627,2562.284370043,5
indonesia,2019Q3,0.794116051134152,2548.660166331483,5
indonesia,2019Q4,0.8030347116543094,2561.6124609346707,5
indonesia,2020Q1,0.8043621281336614,2571.4006132542354,5
indonesia,2020Q2,0.8004048643243438,2542.0400157576887,5
indonesia,2020Q3,0.8001488239950829,2542.3157013586533,5
indonesia,2020Q4,0.7985899655502859,2539.0223939647594,5
indonesia,2021Q1,0.7850069591638312,2411.2266948765737,5
indonesia,2021Q2,0.7883462393874763,2415.7732737650836,5
indonesia,2021Q3,0.7875526228315534,2402.374321837347,5
indonesia,2021Q4,0.7908895540604768,2419.9403546849967,5
indonesia,2022Q1,0.7901588305203813,2416.3620840058916,5
indonesia,2022Q2,0.7942084784869176,2415.6905680436043,5
indonesia,2022Q3,0.7935095564328591,2417.552935056999,5
indonesia,2022Q4,0.7972905526132792,2429.0560637320973,5
indonesia,2023Q1,0.7947962700537138,2439.405287780292,5
indonesia,2023Q2,0.7921738902588574,2417.1797706272187,5
indonesia,2023Q3,0.7929176257173614,2418.166226196311,5
indonesia,2023Q4,0.7976781517340703,2429.8807384967013,5
indonesia,2024Q1,0.7938629242932712,2432.480726791994,5
indonesia,2024Q2,0.797105785402585,2431.888368195662,5
indonesia,2024Q3,0.7979405197085039,2448.0807388843914,5
indonesia,2024Q4,0.7990053574465029,2455.7141353220404,5
indonesia,2025Q1,0.7922710910357229,2443.0036738542562,5
indonesia,2025Q2,0.7975346587769193,2447.9021085356526,5
indonesia,2025Q3,0.7926570808314825,2449.604748670959,5
indonesia,2025Q4,0.7868819091925896,2433.621069497817,5
indonesia,2026Q1,0.7827763999033372,2447.7427058735834,5
indonesia,2026Q2,0.7701767582852048,2361.6374539637686,5
indonesia,2026Q3,0.7697720738214943,2367.2121662798177,5
malaysia,2004Q1,0.6664571640444295,2078.0488473375945,6
malaysia,2004Q2,0.6680355100292787,2062.871154892777,6
malaysia,2004Q3,0.6596593656332119,2030.7864177227748,6
malaysia,2004Q4,0.666193618418385,2020.124974187922,6
malaysia,2005Q1,0.6685400835531078,2014.83327114463,6
malaysia,2005Q2,0.6696838804954587,2001.3460340403947,6
malaysia,2005Q3,0.6654492591712894,1980.532766019206,6
malaysia,2005Q4,0.6614401805253354,1966.5383689578712,6
malaysia,2006Q1,0.6642908779609367,2007.821333031801,6
malaysia,2006Q2,0.6627972855420249,1975.7320423224494,6
malaysia,2006Q3,0.6917933370703575,2004.7889883706448,6
malaysia,2006Q4,0.6855359912277466,1980.5126655148395,6
malaysia,2007Q1,0.6607310266620534,1913.1020580853094,6
malaysia,2007Q2,0.6844917823902766,1977.9224946653706,6
malaysia,2007Q3,0.6961357927151084,2013.5672561390188,6
malaysia,2007Q4,0.7083814389413005,2039.3866708654768,6
malaysia,2008Q1,0.7112835101829644,2038.4512913125202,6
malaysia,2008Q2,0.7029992240554829,2001.997661142185,6
malaysia,2008Q3,0.7089601562753742,2015.6602558851853,6
malaysia,2008Q4,0.7230985040217016,2093.8461692302894,6
malaysia,2009Q1,0.7227942276705829,2071.953812940499,6
malaysia,2009Q2,0.7288250334614963,2082.268444725103,6
malaysia,2009Q3,0.7287913774301833,2080.9647458573954,6
malaysia,2009Q4,0.7294820534451977,2084.694083307343,6
malaysia,2010Q1,0.7310208371101581,2090.009262375247,6
malaysia,2010Q2,0.729368939150772,2077.2470826610743,6
malaysia,2010Q3,0.7285738391179954,2078.552158722863,6
malaysia,2010Q4,0.7237304497264336,2069.896889643682,6
malaysia,2011Q1,0.7256728533212446,2077.148138407574,6
malaysia,2011Q2,0.7263028389911887,2096.509783636636,6
malaysia,2011Q3,0.700300556435961,2033.0165520023845,6
malaysia,2011Q4,0.702907577774865,2031.1225230489092,6
malaysia,2012Q1,0.6995677440413657,2011.8474768041544,6
malaysia,2012Q2,0.7077901722840265,2070.898043897524,6
malaysia,2012Q3,0.7126194094959137,2100.798131018589,6
malaysia,2012Q4,0.7044382180324725,2050.8514438308484,6
malaysia,2013Q1,0.7035544682843751,2056.1108801440687,6
malaysia,2013Q2,0.7125096957333761,2071.990874923515,6
malaysia,2013Q3,0.7145024526015722,2092.151054901548,6
malaysia,2013Q4,0.7169075529197358,2096.1502657428805,6
malaysia,2014Q1,0.7173032818184368,2105.3120535400276,6
malaysia,2014Q2,0.7193522027863191,2116.092650145426,6
malaysia,2014Q3,0.7210976270285867,2117.293401568013,6
malaysia,2014Q4,0.7227616125943824,2136.6356901393506,6
malaysia,2015Q1,0.7267170151393165,2148.096762152088,6
malaysia,2015Q2,0.7293848435303745,2154.592891210544,6
malaysia,2015Q3,0.7317299479927445,2154.4555514285667,6
malaysia,2015Q4,0.7365004871497167,2188.101912309255,6
malaysia,2016Q1,0.7355659801321014,2191.533353434113,6
malaysia,2016Q2,0.7375579262983141,2185.771589331888,6
malaysia,2016Q3,0.7417336091545348,2208.4194391909136,6
malaysia,2016Q4,0.7451493793110194,2205.2039327259185,6
malaysia,2017Q1,0.7417860452134512,2212.1872607989553,6
malaysia,2017Q2,0.7445037659600213,2210.759032686548,6
malaysia,2017Q3,0.744330909992216,2214.8324242176,6
malaysia,2017Q4,0.74632476157539,2226.735127673449,6
malaysia,2018Q1,0.7434880696215119,2213.2192895779617,6
malaysia,2018Q2,0.7466155281849598,2224.8511533258206,6
malaysia,2018Q3,0.7470185725239464,2234.467632555235,6
malaysia,2018Q4,0.7443432981034218,2210.7619372653567,6
malaysia,2019Q1,0.7428830879269298,2208.1528370398896,6
malaysia,2019Q2,0.7439058261707464,2209.2213451372254,6
malaysia,2019Q3,0.7451161638017191,2212.2997073068327,6
malaysia,2019Q4,0.7502300969741328,2241.1302265019654,6
malaysia,2020Q1,0.74553863462732,2213.0714957314035,6
malaysia,2020Q2,0.7438997912092995,2203.983875293328,6
malaysia,2020Q3,0.7450458831394514,2209.3544158514915,6
malaysia,2020Q4,0.7468951410634629,2218.7307856290213,6
malaysia,2021Q1,0.739758836039561,2183.2348294907915,6
malaysia,2021Q2,0.7393537989295476,2190.179381476363,6
malaysia,2021Q3,0.7395015609971275,2190.79585539582,6
malaysia,2021Q4,0.7423742619856963,2200.2914435785096,6
malaysia,2022Q1,0.7342832290147505,2169.0820556098906,6
malaysia,2022Q2,0.7357032455747871,2180.764223358006,6
malaysia,2022Q3,0.7372311168937201,2180.6279861783987,6
malaysia,2022Q4,0.7375949052847275,2190.2735319230815,6
malaysia,2023Q1,0.7347238675097636,2171.8012536227434,6
malaysia,2023Q2,0.7343995238066718,2165.3071473080695,6
malaysia,2023Q3,0.7362976095020803,2181.2140600252046,6
malaysia,2023Q4,0.7375267987060345,2183.2745367485904,6
